#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat Oct 21 20:40:46 2017

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       NES_Nexys4_map.ncd
#OUTPUT FILE:      NES_Nexys4_pad.csv
#PART TYPE:        xc6slx9
#SPEED GRADE:      -3
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
P1,MemDB<11>,IOB,IO_L83N_VREF_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P2,MemDB<10>,IOB,IO_L83P_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P3,,,GND,,,,,,,,,,,,
P4,,,VCCO_3,,,3,,,,,3.30,,,,
P5,MemDB<9>,IOB,IO_L52N_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P6,MemDB<8>,IOB,IO_L52P_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P7,MemAdr<18>,IOB,IO_L51N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P8,MemAdr<8>,IOB,IO_L51P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P9,MemAdr<9>,IOB,IO_L50N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P10,MemAdr<10>,IOB,IO_L50P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P11,MemAdr<11>,IOB,IO_L49N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P12,MemAdr<17>,IOB,IO_L49P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P13,,,GND,,,,,,,,,,,,
P14,MemDB<4>,IOB,IO_L44N_GCLK20_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P15,MemDB<5>,IOB,IO_L44P_GCLK21_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P16,MemDB<6>,IOB,IO_L43N_GCLK22_IRDY2_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P17,MemDB<7>,IOB,IO_L43P_GCLK23_3,BIDIR,LVCMOS33,3,12,SLOW,,NONE,,LOCATED,NO,NONE,
P18,,,VCCO_3,,,3,,,,,3.30,,,,
P19,,,VCCINT,,,,,,,,1.2,,,,
P20,,,VCCAUX,,,,,,,,2.5,,,,
P21,MemWR,IOB,IO_L42N_GCLK24_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P22,MemAdr<16>,IOB,IO_L42P_GCLK25_TRDY2_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P23,MemAdr<15>,IOB,IO_L41N_GCLK26_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P24,MemAdr<14>,IOB,IO_L41P_GCLK27_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P25,,,GND,,,,,,,,,,,,
P26,MemAdr<13>,IOB,IO_L37N_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P27,MemAdr<12>,IOB,IO_L37P_3,OUTPUT,LVCMOS33,3,12,SLOW,,,,LOCATED,NO,NONE,
P28,,,VCCINT,,,,,,,,1.2,,,,
